Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Viet Nam,VNM,"Muc chi cua chinh phu cho giao duc, tong cong (% GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.886740208,4.816500187,5.137219906,4.813720226,5.533289909,5.65199995,,4.465760231,4.344810009,4.085539818,4.167449951,4.061970234,
Viet Nam,VNM,"Si so hoc sinh, trung hoc (% tong so)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,35.89334106,37.75392914,,,43.45309067,,,,,,,,,,34.903759,,,,,,,,58.26018143,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,"Si so hoc sinh, tieu hoc (% tong so)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,109.9609909,113.0968018,112.1842575,103.8526535,110.0554504,107.6304169,,104.5800934,104.9889908,104.3746872,105.1889038,108.7706223,109.7296677,108.0415573,105.2082367,106.7521515,107.7012863,111.0992279,112.3967285,113.8593063,114.5189667,115.7247772,114.7697983,111.9241714,109.5282593,106.5501328,103.0718613,100.2129593,98.92958832,97.72135162,98.12531281,99.78874207,101.6587524,102.3212509,105.7091675,107.193718,107.7544022,108.4108963,110.329628,109.8869934,111.2049179,109.1508331,110.5948105,115.435173,117.1571732
Viet Nam,VNM,"Ty le hoan thanh tieu hoc, tong cong (% nhom tuoi lien quan)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,81.48097992,,,,,,,,,,,,,,,,,,,,99.7494812,99.77178192,105.2023468,102.1941681,100.9092178,,93.75769043,97.44434357,,,,,103.2278595,102.6396866,100.0165863,107.1828766,105.1644592,105.9639893,,110.0212097,,
Viet Nam,VNM,Ty le hoc sinh nu tren hoc sinh nam o cap giao duc tieu hoc va trung hoc (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,1.020290017,1.01394999,,,,,,,,,,,,,,,,,,,,,0.939800024,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,"Ty le biet chu, tong cong nguoi lon (% so nguo tu 15 tuoi tro len)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,83.82594299,,,,,,,,,,87.59645081,,,,,,,,,,90.27829742,90.15612793,,,,,,,,,93.52044678,,,,,,,,,,95.7538681,
Viet Nam,VNM,"GNI tinh theo dau nguoi, PPP ($ quoc te hien tai)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,930,1030,1120,1240,1380,1500,1630,1720,1820,2120,2280,2430,2620,2880,2910,3160,3420,3650,3450,4050,4330,4840,5130,5470,5790,6300,6650,7290,7890,
Viet Nam,VNM,"GNI theo dau nguoi, phuong phap Atlas (US$ hien tai)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,130,110,130,160,190,250,300,330,340,360,410,430,450,500,580,630,720,840,980,1010,1250,1370,1540,1720,1880,1970,2080,2130,2380,2590,2660
Viet Nam,VNM,"GNI, PPP ($ quoc te hien tai)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58419558463,64704858676,73354028643,80821624943,91040117517,1.03318E+11,1.14469E+11,1.25613E+11,1.34337E+11,1.43523E+11,1.69102E+11,1.83775E+11,1.98446E+11,2.1566E+11,2.39305E+11,2.43642E+11,2.67675E+11,2.92489E+11,3.14506E+11,3.00737E+11,3.56506E+11,3.84663E+11,4.34659E+11,4.65498E+11,5.01888E+11,5.36539E+11,5.89742E+11,6.28964E+11,6.96173E+11,7.61554E+11,
Viet Nam,VNM,"GNI, phuong phap Atlas (US$ hien tai)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14153947054,8528434371,7569187211,9221407681,11664291589,14012881771,18479876115,22493557806,25763781933,26875318413,28099548179,32629185570,34787535632,36888559415,41219401301,48397204095,52884327654,61119346853,71581154221,84934003165,88288551523,1.10302E+11,1.22033E+11,1.38087E+11,1.56269E+11,1.72359E+11,1.82493E+11,1.94603E+11,2.01791E+11,2.27811E+11,2.49441E+11,2.59319E+11
Viet Nam,VNM,"GDP tinh theo dau nguoi, PPP ($ quoc te hien tai)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.6743385,984.2942606,1071.446677,1162.147546,1268.183628,1394.461459,1528.980876,1658.925355,1751.984959,1840.440839,1987.302735,2134.438335,2282.858327,2462.501575,2694.458125,2960.641018,3232.812969,3522.938331,3758.554922,3952.734241,4213.295721,4523.252728,5042.481186,5358.946637,5745.205254,6102.636869,6572.976234,7155.443187,7768.080218,8381.23932,
Viet Nam,VNM,GDP tinh theo dau nguoi (US$ hien tai),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,231.4522858,422.7802977,575.4626827,390.4122234,94.56473524,95.18825998,138.4474504,139.2001228,182.3084018,221.1291752,276.8126628,324.1472239,348.0174071,348.3243173,362.9195028,390.0933309,404.8078612,430.0528724,480.5798343,546.909619,687.4797274,784.3723759,906.2842299,1149.424495,1217.268583,1317.890646,1525.119025,1735.152116,1886.69017,2030.278447,2085.101349,2192.174482,2365.521615,2566.447487,2715.27598,2785.724157
